Id,Title,Senior,Company,Location,Salary,Currency
1.0,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,16 000  – 26 000  PLN,PLN
2.0,"AI &amp; Math (PhD, Postdoctoral Preferable)",False,Camino Science Sp. z o. o.,Zdalnie    +1,16 000  – 25 000  PLN,PLN
3.0,Research Manager,False,Snowflake,Warszawa,30 000  – 60 000  PLN,PLN
4.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN
5.0,Data Science Internship,False,Ringier Axel Springer Tech,Kraków    +2,3 800  PLN,PLN
6.0,Machine Learning Engineer,False,hubQuest,Zdalnie    +1,20 000  – 27 000  PLN,PLN
7.0,Senior Machine Learning NLP Engineer,True,Kinetix Trading Solutions,Zdalnie    +8,25 000  – 35 000  PLN,PLN
8.0,Machine Learning Engineer,False,Sense Software,Zdalnie    +2,15 000  – 23 000  PLN,PLN
9.0,Data Science MLOps,False,PKO Finat Sp. z o.o.,Warszawa,18 480  – 23 520  PLN,PLN
10.0,Sr Data Scientist - Commercial Analytics,False,Bayer Sp. z o.o.,Warszawa,20 000  – 26 000  PLN,PLN
11.0,Data Scientist - Operations Research,False,Bayer Sp. z o.o.,Warszawa,20 000  – 26 000  PLN,PLN
12.0,Mid Machine Learning Engineer,False,EWL Group,Warszawa,15 000  – 25 000  PLN,PLN
13.0,Data Engineer,False,Unit8 SA,Kraków    +1,22 000  – 26 000  PLN,PLN
14.0,Regular / Senior Data Scientist,True,hubQuest,Zdalnie    +1,20 000  – 28 500  PLN,PLN
15.0,Senior Data Scientist,True,Bayer Sp. z o.o.,Warszawa,16 000  – 28 000  PLN,PLN
16.0,Solution Architect,False,Algomine,Zdalnie    +1,25 200  – 33 600  PLN,PLN
17.0,Data Scientist,False,EMPIK S. A.,Warszawa,10 000  – 15 000  PLN,PLN
18.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN
19.0,Machine Learning Researcher,False,RTB House,Zdalnie    +2,30 000  – 47 000  PLN,PLN
20.0,Machine Learning Engineer,False,RTB House,Zdalnie    +1,30 000  – 47 000  PLN,PLN
21.0,Data Scientist,False,Axiom Health,Sopot    +1,26 775  – 35 700  PLN,PLN
22.0,Data Scientist/AI Developer,False,Algomine,Zdalnie    +1,13 440  – 25 200  PLN,PLN
23.0,Junior Cloud Engineer,False,Reply Polska,Zdalnie,5 000  – 9 000  PLN,PLN
24.0,Tech Lead  (IT - AI - Astrodynamics),True,Arcadia Astronautics,"Budapest  , HU",22 203  – 29 604  PLN,PLN
