Id,Title,Senior,Company,Location,Salary,Currency
1.0,"AI Engineer (Remote, full / part-time)",False,,Warszawa    +4,23 520  – 30 240  PLN,PLN
2.0,Principal Software Engineer,False,,Zdalnie,26 880  – 43 680  PLN,PLN
3.0,Computer Vision Algorithm Developer (AI),False,,Zdalnie,23 784  – 31 712  PLN,PLN
4.0,Deep Learning Engineer,False,,Zdalnie    +1,18 000  – 28 000  PLN,PLN
5.0,Machine Learning Engineer,False,,Zdalnie    +1,18 000  – 26 000  PLN,PLN
6.0,Senior Data Scientist,True,,Zdalnie    +1,20 000  – 28 000  PLN,PLN
7.0,Senior ML Security Engineer,True,,Warsaw,30 000  – 60 000  PLN,PLN
8.0,Senior ML Voice - Part Time,True,,Zdalnie    +1,18 000  PLN,PLN
9.0,Senior Data Scientist,True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
10.0,Senior Data Scientist,True,,Zdalnie    +5,25 200  – 33 600  PLN,PLN
11.0,Specjalista/ka ds. narzędzi AI,False,,Zdalnie    +1,9 240  – 11 760  PLN,PLN
12.0,AI Engineer with Python,False,,Warsaw    +3,23 520  – 27 720  PLN,PLN
13.0,MLOps Engineer,False,,Zdalnie    +5,17 500  – 30 000  PLN,PLN
14.0,Platform Engineer with Azure,False,,Zdalnie    +1,17 000  – 21 000  PLN,PLN
15.0,Senior Data Scientist,True,,Katowice,16 000  – 22 000  PLN,PLN
16.0,Junior AI Engineer,False,,Katowice,8 000  – 12 000  PLN,PLN
17.0,Directory Development Executive,False,,Zdalnie,5 180  – 7 339  PLN,PLN
18.0,Director of Software Engineering&amp;Data Management,False,,Kraków,17 000  – 22 000  PLN,PLN
19.0,Machine Learning Developer,False,,Zdalnie    +1,17 000  – 20 000  PLN,PLN
20.0,Data Architect,False,,Zdalnie    +2,28 560  – 36 960  PLN,PLN
21.0,"AI Engineer (Remote, full / part-time)",False,,Warszawa    +4,23 520  – 30 240  PLN,PLN
22.0,Principal Software Engineer,False,,Zdalnie,26 880  – 43 680  PLN,PLN
