Id,Title,Senior,Company,Location,Salary,Currency
1.0,Senior Data Scientist,True,Adform Sp. z o.o.,"Warsaw, POL",21 000  - 25 000  PLN,PLN
2.0,Data Scientist,False,Focal Systems,Remote,30 821  - 52 158  PLN,PLN
3.0,Senior Data Scientist (Computer Vision),True,Lingaro,Remote,20 160  - 30 240  PLN,PLN
4.0,Machine Learning Engineer -Data Scientis,False,OpenX,Remote,16 000  - 24 000  PLN,PLN
5.0,Machine Learning Engineer,False,RTB House,Remote,28 500  - 47 000  PLN,PLN
6.0,Machine Learning Researcher,False,RTB House,Remote,28 500  - 47 000  PLN,PLN
7.0,Cloud Solutions Architect,False,Grape Up,"Kraków, POL
 + 2",22 100  - 35 700  PLN,PLN
8.0,Data Scientist (Remote),False,deepsense.ai Sp. z o.o.,Remote,16 000  - 24 000  PLN,PLN
9.0,Data Engineer (Krakow),False,Unit8 SA,"Kraków, POL
 + 3",16 000  - 26 000  PLN,PLN
10.0,Deep Learning Engineer,False,Focal Systems,Remote,47 417  - 78 712  PLN,PLN
11.0,Data Reliability Engineer,False,Unit8 SA,"Wrocław, POL
 + 1",16 000  - 26 000  PLN,PLN
12.0,Senior Data Scientist (A&amp;PC),True,hubQuest,Remote,29 000  - 37 000  PLN,PLN
13.0,Data Engineer,False,Ringier Axel Springer Tech,"Warszawa, POL
 + 2",10 100  - 16 900  PLN,PLN
14.0,Remote Senior Java Developer/Architect,True,Jit Team,Remote,30 000  - 40 000  PLN,PLN
15.0,Remote MLOps Engineer,False,Link Group,Remote,23 520  - 28 560  PLN,PLN
16.0,NLP ML Engineer – Data Scientist,False,Silver Bullet Soluions Sp. z o.o.,"Warsaw, POL
 + 1",12 500  - 14 500  PLN,PLN
17.0,AI Developer / Data Scientist,False,Algomine,Remote,13 440  - 25 200  PLN,PLN
18.0,Senior Machine Learning Engineer,True,Grape Up,Remote,19 100  - 34 000  PLN,PLN
19.0,Senior NLP Data Scientist,True,Applica Sp. z o.o.,Remote,18 000  - 23 000  PLN,PLN
20.0,Data Analyst,False,Schneider Electric,"Warszawa, POL",10 500  - 16 000  PLN,PLN
21.0,Python Machine Learning Engineer,False,Pointpack,Remote,26 000  - 30 000  PLN,PLN
22.0,Data Science Leader,True,Global App Testing,Remote,25 000  - 35 000  PLN,PLN
23.0,Remote Mid AI developer,False,Spectre Solutions sp. z o.o.,Remote,12 000  - 22 000  PLN,PLN
24.0,Remote Python Machine Learning Engineer,False,DTiQ,Remote,10 000  - 14 000  PLN,PLN
25.0,MLOps Engineer,False,MX Labs,Remote,16 000  - 22 000  PLN,PLN
26.0,AI Engineer,False,Lingaro,Remote,23 520  - 30 240  PLN,PLN
27.0,Data Scientist,False,AVENGA,Remote,15 120  - 26 880  PLN,PLN
28.0,Remote Data Scientist,False,Varwise,Remote,26 000  - 30 000  PLN,PLN
29.0,Robotics Engineer,False,Unitem,"Wrocław, POL",12 000  - 18 000  PLN,PLN
30.0,Remote Senior AI NLP IT Proffesional,True,Roche,Remote,13 000  - 17 500  PLN,PLN
31.0,MLOps Engineer,False,Addepto,Remote,20 160  - 30 240  PLN,PLN
32.0,MLOps Engineer,False,hubQuest,Remote,23 000  - 30 000  PLN,PLN
33.0,Senior Cloud Automation Engineer,True,ERGO Technology &amp; Services S.A.,Remote,17 000  - 19 000  PLN,PLN
34.0,Data Scientist,False,Hays Poland,Remote,16 800  - 20 160  PLN,PLN
35.0,Senior Data Scientist,True,hubQuest,Remote,25 000  - 34 000  PLN,PLN
36.0,Data Scientist,False,Addepto,Remote,18 480  - 28 560  PLN,PLN
37.0,Senior Machine Learning Engineer,True,Devire,Remote,26 000  - 32 000  PLN,PLN
38.0,Senior AI Engineer,True,Link Group,Remote,27 000  - 30 000  PLN,PLN
39.0,Senior AI Engineer,True,Link Group,Remote,28 000  - 33 000  PLN,PLN
40.0,Junior Data Scientist,False,S&amp;P Global,Remote,10 000  - 13 000  PLN,PLN
41.0,Advanced Analytics Consultant,False,UNICEF,"Budapest, HUN",18 923  - 23 654  PLN,PLN
