Id,Title,Senior,Company,Location,Salary,Currency
1.0,Senior ML Voice - Part Time,True,,Zdalnie    +1,18 000  PLN,PLN
2.0,MLOps Engineer,False,,Zdalnie    +1,21 000  – 27 000  PLN,PLN
3.0,Lead MLOps Engineer (Nvidia AI Stack Expert),True,,Zdalnie    +1,28 000  – 34 000  PLN,PLN
4.0,Konsultant Techniczny Samba.ai,False,,Wrocław,6 000  – 9 000  PLN,PLN
5.0,Power Automate Expert,True,,Zdalnie    +1,13 440  – 15 960  PLN,PLN
6.0,Senior Research Scientist,True,,Warsaw,30 000  – 60 000  PLN,PLN
7.0,Deep Learning Engineer,False,,Zdalnie    +1,18 000  – 28 000  PLN,PLN
8.0,Machine Learning Engineer,False,,Zdalnie    +1,18 000  – 26 000  PLN,PLN
9.0,Senior Data Scientist,True,,Zdalnie    +1,20 000  – 28 000  PLN,PLN
10.0,Senior Deep Learning Engineer,True,,Zdalnie,74 000  – 119 000  PLN,PLN
11.0,Deep Learning Engineer,False,,Zdalnie,44 700  – 74 600  PLN,PLN
12.0,Senior AI Engineer,True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
13.0,AI Engineer,False,,Zdalnie    +1,15 120  – 19 320  PLN,PLN
14.0,Inżynier Uczenia Maszynowego,False,,Zdalnie    +1,14 000  – 28 000  PLN,PLN
15.0,Senior Data Scientist,True,,Katowice,16 000  – 22 000  PLN,PLN
16.0,AI &amp; Math (Open PhD Conduct),False,,Zdalnie    +1,8 000  – 9 000  PLN,PLN
17.0,AI &amp; Math,False,,Zdalnie    +1,9 000  – 14 000  PLN,PLN
18.0,AI &amp; Math (PhD/ongoing PhD nice-to-have),False,,Zdalnie    +1,15 000  – 16 000  PLN,PLN
19.0,Principal Software Engineer,False,,Zdalnie,26 880  – 43 680  PLN,PLN
20.0,AI DevOps Engineer,False,,Zdalnie    +1,15 120  – 20 160  PLN,PLN
21.0,Machine Learning Engineer,False,,Zdalnie    +1,8 500  – 14 500  PLN,PLN
22.0,Data Scientist,False,,Zdalnie    +1,9 000  – 14 000  PLN,PLN
23.0,Senior Machine Learning Engineer,True,,Zdalnie    +1,14 500  – 18 500  PLN,PLN
24.0,Data Scientist,False,,Zdalnie    +2,16 800  – 25 200  PLN,PLN
25.0,Data Science Manager,False,,Zdalnie    +5,18 000  – 30 000  PLN,PLN
26.0,AI &amp; Math CUDA (C++) Developer,False,,Zdalnie    +1,12 000  – 16 000  PLN,PLN
27.0,Senior AI &amp; Math CUDA (C++) Developer,True,,Zdalnie    +1,16 000  – 19 000  PLN,PLN
28.0,Data Scientist - Security Team,False,,Warsaw,30 000  – 60 000  PLN,PLN
29.0,Python Developer - AI,False,,Wrocław,17 000  – 28 000  PLN,PLN
30.0,Tester (Pentester) - AI,False,,Wrocław,10 000  – 18 000  PLN,PLN
31.0,Oracle Specialist - AI,False,,Wrocław,19 000  – 28 000  PLN,PLN
32.0,Test Engineer - AI,False,,Wrocław,12 000  – 21 000  PLN,PLN
33.0,Senior Data Scientist,True,,Zdalnie    +2,25 200  – 33 600  PLN,PLN
34.0,Lead Data Scientist,True,,Zdalnie    +5,19 000  – 34 000  PLN,PLN
35.0,Machine Learning Engineer,False,,Zdalnie    +1,30 000  – 47 000  PLN,PLN
36.0,ML (Python + NLP) Engineer,False,,Zdalnie,13 044  – 21 740  PLN,PLN
37.0,Senior AI Engineer (GenerativeAI),True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
38.0,Azure AI Solutions Consultant (OpenAI),False,,Zdalnie    +4,15 960  – 29 904  PLN,PLN
39.0,Data Scientist ( Mid / Senior ),True,,Zdalnie    +5,13 000  – 26 000  PLN,PLN
40.0,Directory Development Executive,False,,Zdalnie,5 217  – 7 391  PLN,PLN
41.0,Senior JavaScript Developer (AI projects),True,,Zdalnie    +2,17 000  – 28 000  PLN,PLN
42.0,Specjalista/ka ds. narzędzi AI,False,,Zdalnie    +1,9 240  – 11 760  PLN,PLN
43.0,Senior Data Scientist REMOTE 🌍,True,,Zdalnie,26 758  – 33 250  PLN,PLN
44.0,AI Engineer with Python,False,,Warsaw    +3,23 520  – 27 720  PLN,PLN
45.0,Team Manager (AI/IoT),False,,Kraków,19 000  – 26 000  PLN,PLN
46.0,Kierownik B+R z doświadczeniem IoT lub AI,False,,Zdalnie,16 000  – 22 000  PLN,PLN
47.0,Senior Data Scientist,True,,Warsaw,20 000  – 28 000  PLN,PLN
48.0,ML Engineer Senior - Full Time,True,,Zdalnie,22 680  – 31 584  PLN,PLN
49.0,Senior ML (NLP) Engineer,True,,Zdalnie    +2,15 000  – 30 000  PLN,PLN
50.0,Principal Deep Learning Engineer,False,,Zdalnie,92 250  – 180 811  PLN,PLN
51.0,Senior ML Voice - Part Time,True,,Zdalnie    +1,18 000  PLN,PLN
52.0,MLOps Engineer,False,,Zdalnie    +1,21 000  – 27 000  PLN,PLN
53.0,Lead MLOps Engineer (Nvidia AI Stack Expert),True,,Zdalnie    +1,28 000  – 34 000  PLN,PLN
54.0,Konsultant Techniczny Samba.ai,False,,Wrocław,6 000  – 9 000  PLN,PLN
55.0,Power Automate Expert,True,,Zdalnie    +1,13 440  – 15 960  PLN,PLN
56.0,Senior Research Scientist,True,,Warsaw,30 000  – 60 000  PLN,PLN
57.0,Deep Learning Engineer,False,,Zdalnie    +1,18 000  – 28 000  PLN,PLN
58.0,Machine Learning Engineer,False,,Zdalnie    +1,18 000  – 26 000  PLN,PLN
59.0,Senior Data Scientist,True,,Zdalnie    +1,20 000  – 28 000  PLN,PLN
60.0,Senior Deep Learning Engineer,True,,Zdalnie,74 000  – 119 000  PLN,PLN
61.0,Deep Learning Engineer,False,,Zdalnie,44 700  – 74 600  PLN,PLN
62.0,Senior AI Engineer,True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
63.0,AI Engineer,False,,Zdalnie    +1,15 120  – 19 320  PLN,PLN
64.0,Inżynier Uczenia Maszynowego,False,,Zdalnie    +1,14 000  – 28 000  PLN,PLN
