Id,Title,Senior,Company,Location,Salary,Currency
1.0,Remote Data Scientist,False,Addepto,Zdalnie    +5,12 600  – 18 480  PLN,PLN
2.0,Data Automation &amp; AI Engineer,False,Pitney Bowes Polska Sp. z o.o.,Zdalnie    +1,15 000  – 20 000  PLN,PLN
3.0,AI &amp; BigDate Team Member,False,CIŚ within Narodowe Centrum Badań Jądrowych,Otwock,5 000  – 7 000  PLN,PLN
4.0,Data Scientist (AI),False,Addepto,Zdalnie    +5,6 000  – 12 000  PLN,PLN
5.0,Tester oprogramowania systemów AI,False,Maxto,Kraków,5 000  – 10 000  PLN,PLN
6.0,Analityka video AI - Programista PHP,False,Maxto,Kraków,8 000  – 16 000  PLN,PLN
7.0,AI Engineer,False,CallPage,Zdalnie    +1,14 000  – 24 000  PLN,PLN
8.0,Konsultant Techniczny Samba.ai,False,Samba.ai,Wrocław,6 000  – 9 000  PLN,PLN
9.0,Senior Deep Learning Firmware Engineer,True,EER Poland,Kraków,25 000  – 40 000  PLN,PLN
10.0,Senior JavaScript Developer (AI projects),True,10Clouds,Zdalnie    +2,17 000  – 28 000  PLN,PLN
11.0,Deep Learning Engineer,False,in4ge sp. z o.o.,Zdalnie    +1,18 000  – 28 000  PLN,PLN
12.0,Machine Learning Engineer,False,in4ge sp. z o.o.,Zdalnie    +1,18 000  – 26 000  PLN,PLN
13.0,Senior Data Scientist,True,in4ge sp. z o.o.,Zdalnie    +1,20 000  – 28 000  PLN,PLN
14.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN
15.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN
16.0,Senior MLOps Engineer with Azure,True,Nordcloud,Zdalnie    +3,27 000  – 32 000  PLN,PLN
17.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN
18.0,Senior Data Scientist,True,Focal Systems,Zdalnie,25 000  – 35 000  PLN,PLN
19.0,Directory Development Executive,False,ENF Ltd.,Zdalnie,5 562  – 7 880  PLN,PLN
20.0,Machine Learning Engineer,False,RTB House,Zdalnie    +1,30 000  – 47 000  PLN,PLN
21.0,Machine Learning Researcher,False,RTB House,Zdalnie    +2,30 000  – 47 000  PLN,PLN
22.0,EDGE Machine Learning Engineer,False,MEV,Zdalnie    +2,19 663  – 32 772  PLN,PLN
23.0,Senior ML Voice - Part Time,True,AI REV,Zdalnie    +1,18 000  PLN,PLN
24.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN
25.0,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie    +1,9 000  – 14 000  PLN,PLN
26.0,AI &amp; Math (Open PhD Conduct),False,Camino Science sp. z o.o.,Zdalnie    +1,8 000  – 9 000  PLN,PLN
27.0,AI &amp; Math (PhD/ongoing PhD nice-to-have),False,Camino Science sp. z o.o.,Zdalnie    +1,15 000  – 16 000  PLN,PLN
28.0,AI Engineer,False,Ringier Axel Springer Tech,Kraków    +2,11 700  – 19 600  PLN,PLN
29.0,Data Engineer Azure,False,Zone IT Sp. z o.o.,Wrocław,18 000  – 26 000  PLN,PLN
30.0,ML Engineer Senior - Full Time,True,AI REV,Zdalnie,22 680  – 31 584  PLN,PLN
31.0,Senior Data Scientist,True,SKY ENGINE AI,Warsaw,20 000  – 28 000  PLN,PLN
32.0,NLP Engineer,False,Business Online Services,Zdalnie,14 000  – 24 000  PLN,PLN
33.0,AI Engineer,False,Ness Solution Sp. z o. o.,Zdalnie,18 480  – 36 960  PLN,PLN
34.0,Technical Team Leader | ML/AI,True,Open Nexus sp. z o.o.,Poznań,23 000  – 27 000  PLN,PLN
35.0,Remote MLOps Engineer / Data Scientist,False,Addepto,Zdalnie    +5,12 600  – 20 160  PLN,PLN
36.0,Junior Data Ingestion Engineer,False,Sigmoidal LLC,Wrocław,7 000  – 12 000  PLN,PLN
37.0,Junior Machine Learning,False,Mindpal,Zdalnie,8 400  – 11 760  PLN,PLN
38.0,Senior Java Developer,True,Recruby Hungary Kft,"Budapest  , HU",20 145  – 30 810  PLN,PLN
