Id,Title,Senior,Company,Location,Salary,Currency
1.0,Senior Research Scientist,True,Snowflake,"Warszawa, PL  + 1",35 000  – 70 000  PLN,PLN
2.0,Senior Machine Learning Engineer,True,Devire,"Warszawa, PL",23 520  – 31 920  PLN,PLN
3.0,Remote GPT-3 Operator,False,ITC,Zdalnie,25 000  PLN,PLN
4.0,Data Scientist - ML Engineer,False,Avenga,Zdalnie,26 000  – 28 000  PLN,PLN
5.0,Head of Software Development,False,ATLANT 3D Nanosystems,"Taastrup, DK",37 574  – 51 664  PLN,PLN
6.0,Machine Learning Operations Engineer,False,Silent Eight,Zdalnie,12 000  – 20 000  PLN,PLN
7.0,Python Developer / ML Engineer,False,hubQuest,Zdalnie  + 1,20 000  – 27 000  PLN,PLN
8.0,Data Scientist Lead,True,Objectivity,Zdalnie  + 2,30 240  – 38 640  PLN,PLN
9.0,Machine Learning Engineer/Data Scientist,False,LoopMe,"Kraków, PL",25 000  PLN,PLN
10.0,Senior Data Scientist,True,InData Labs,Zdalnie,26 900  – 40 350  PLN,PLN
11.0,Python Developer,False,Ardigen,"Kraków, PL",10 000  – 18 000  PLN,PLN
12.0,Regular / Senior Data Scientist,True,hubQuest,Zdalnie  + 1,20 000  – 28 500  PLN,PLN
13.0,AI/ML Data Labeling Manager,False,Focal Systems,Zdalnie,22 000  – 30 000  PLN,PLN
14.0,Data Scientist,False,MNM Diagnostics,"Poznań, PL",12 000  – 16 000  PLN,PLN
15.0,Cloud Apps Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,12 000  – 19 000  PLN,PLN
16.0,Machine Learning Researcher,False,RTB House,Zdalnie  + 2,28 500  – 47 000  PLN,PLN
17.0,IT Developer/Scala Developer,False,Flaire,Zdalnie,21 000  – 22 680  PLN,PLN
18.0,Cloud Solutions Architect,False,Grape Up,"Kraków, PL  + 2",22 100  – 35 700  PLN,PLN
19.0,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,16 000  – 26 000  PLN,PLN
20.0,Machine Learning Engineer,False,Tooploox,Zdalnie  + 2,13 000  – 19 000  PLN,PLN
21.0,Senior Machine Learning Engineer,True,Tooploox,Zdalnie  + 2,18 000  – 26 000  PLN,PLN
22.0,Cloud Dev Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,16 000  – 26 000  PLN,PLN
23.0,Data Analyst/ Scientist,False,Algomine,Zdalnie  + 1,13 440  – 21 840  PLN,PLN
24.0,Data Scientist,False,Numlabs,Zdalnie  + 1,10 000  – 15 000  PLN,PLN
25.0,Python Developer with Computer Vision,False,Numlabs,Zdalnie  + 1,10 000  – 15 000  PLN,PLN
26.0,Remote Senior Data Scientist,True,FlairHub,Zdalnie,30 000  – 38 000  PLN,PLN
27.0,Deep Learning Engineer,False,ReSpo.Vision,"Warszawa, PL",14 000  – 20 000  PLN,PLN
28.0,Python AI Developer with Robotics Exp.,False,Unitem,"Wrocław, PL",17 000  – 23 000  PLN,PLN
29.0,Machine Learning Engineer,False,Ardigen,Zdalnie  + 1,13 000  – 25 000  PLN,PLN
30.0,Data Engineer,False,Unit8 SA,"Kraków, PL  + 1",22 000  – 26 000  PLN,PLN
31.0,Junior Cloud Engineer,False,Reply Polska,Zdalnie,5 000  – 9 000  PLN,PLN
32.0,Mid-Integration developer in AI field,False,Ultinous Zrt.,"Budapest, HU",10 300  – 12 589  PLN,PLN
