Id,Title,Senior,Company,Location,Salary,Currency
1.0,Team Manager (AI/IoT),False,Fitech Sp. ZO.O,Kraków,19 000  – 26 000  PLN,PLN
2.0,AI Engineer,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN
3.0,Test Engineer AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN
4.0,Application Support Engineer,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN
5.0,Java Developer AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 22 000  PLN,PLN
6.0,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie    +1,12 000  – 16 000  PLN,PLN
7.0,Integration Specialist AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN
8.0,Senior Project Manager - Data Labeling,True,Focal Systems,Zdalnie,22 000  – 30 000  PLN,PLN
9.0,Senior AI Engineer,True,Vestigit,Wrocław,16 000  – 21 000  PLN,PLN
10.0,Mid AI Engineer,False,Vestigit,Wrocław,12 000  – 17 000  PLN,PLN
11.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN
12.0,AI &amp; Math (Open PhD Conduct),False,Camino Science sp. z o.o.,Zdalnie    +1,10 000  – 14 000  PLN,PLN
13.0,Mid C++ Embedded Developer,False,Myled,Kraków,14 000  – 20 000  PLN,PLN
14.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN
15.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN
16.0,Senior AI Engineer,True,BCF Software Sp. z o.o.,Poznań,16 800  – 20 160  PLN,PLN
17.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN
18.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN
19.0,AI Engineer,False,CDeX,Zdalnie    +1,27 000  – 32 000  PLN,PLN
20.0,Machine Learning Engineer (XAI project),False,10 Senses,Warszawa    +1,25 200  – 33 600  PLN,PLN
21.0,Senior AI Engineer,True,Vestigit,Wrocław,20 000  – 25 000  PLN,PLN
22.0,Mid AI Engineer,False,Vestigit,Wrocław,12 000  – 17 000  PLN,PLN
23.0,AI Developer,False,lemon.io,Zdalnie    +1,20 434  – 40 869  PLN,PLN
24.0,AI &amp; Math (PhD/ongoing PHD preferable),False,Camino Science sp. z o.o.,Zdalnie    +1,16 000  – 25 000  PLN,PLN
25.0,Lead Python + Django AI,True,Ideamotive,Zdalnie,24 000  – 37 000  PLN,PLN
26.0,Applied Scientist (Mid/Senior),True,Infermedica Sp z.o.o,Zdalnie    +1,20 000  – 25 000  PLN,PLN
27.0,Senior Applied Research Scientist,True,Infermedica Sp z.o.o,Zdalnie    +1,20 000  – 25 000  PLN,PLN
28.0,Remote Backend/AI Engineer (Golang),False,Bash,Zdalnie,14 000  – 24 000  PLN,PLN
29.0,Remote Senior Project Manager - AI,True,Thoriana Sp. z o.o.,Zdalnie    +1,17 000  – 22 000  PLN,PLN
30.0,Junior Analyst - AI,False,Thoriana Sp. z o.o.,Warsaw,8 000  – 12 000  PLN,PLN
31.0,Remote Mid Analyst - AI,False,Thoriana Sp. z o.o.,Zdalnie    +1,12 000  – 16 000  PLN,PLN
32.0,Remote Mid Project Manager - AI,False,Thoriana Sp. z o.o.,Zdalnie    +1,12 000  – 16 000  PLN,PLN
33.0,Machine Learning Engineer,False,RTB House,Zdalnie    +1,30 000  – 47 000  PLN,PLN
34.0,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie    +1,16 800  – 33 600  PLN,PLN
35.0,Data Scientist,False,Sales&amp;More,Zdalnie    +1,7 500  – 15 000  PLN,PLN
36.0,AI SCIENTIST,False,InPhoTech,Ołtarzew    +1,30 000  – 40 000  PLN,PLN
37.0,Machine Learning Engineer,False,Quickchat AI,Warszawa,12 260  – 24 521  PLN,PLN
38.0,Remote Senior NLP Engineer,True,Sigmoidal LLC,Zdalnie    +3,24 521  – 34 534  PLN,PLN
39.0,Python Developer with Computer Vision,False,Numlabs,Zdalnie    +1,10 000  – 15 000  PLN,PLN
40.0,Python Machine Learning Engineer,False,Numlabs,Zdalnie,13 000  – 17 000  PLN,PLN
41.0,Data Scientist,False,Numlabs,Zdalnie    +1,10 000  – 15 000  PLN,PLN
42.0,Programista C++ 17/20,False,Techmo Sp. z o.o.,Kraków,13 000  – 23 000  PLN,PLN
43.0,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN
44.0,Senior AI Software Engineer,True,Fourthwall,Zdalnie    +1,22 500  – 37 000  PLN,PLN
45.0,Remote Mid ML Engineer,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN
46.0,Remote Mid AI&amp;ML Data Scientist,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN
47.0,Data Scientist/AI Developer,False,Algomine,Zdalnie    +1,13 440  – 25 200  PLN,PLN
48.0,Senior OpenAI &amp; ML Solutions Developer,True,Everguest,"Budapest  , HU",21 180  – 29 417  PLN,PLN
49.0,Generative AI Expert,True,Deutsche Telekom IT Solutions Hungary,"Budapest  , HU",21 180  – 29 417  PLN,PLN
