Id,Title,Senior,Company,Location,Salary,Currency
1.0,Senior Data Scientist,True,Objectivity,Zdalna  + 2,23 520  – 31 920  PLN,PLN
2.0,Data Scientist,False,Kuehne + Nagel Sp. z o.o.,"WROCŁAW, POL",16 000  – 23 000  PLN,PLN
3.0,Regular/ Senior Python Developer,True,Objectivity,Zdalna  + 2,15 120  – 21 000  PLN,PLN
4.0,Python Big- Data Platform Developer,False,Objectivity,Zdalna  + 2,15 120  – 21 000  PLN,PLN
5.0,Python Developer,False,Taylor Shipping Solutions Sp. z o.o.,"Warszawa, POL  + 1",6 000  – 9 500  PLN,PLN
6.0,Cloud Solutions Architect,False,Grape Up,"Kraków, POL  + 2",22 100  – 35 700  PLN,PLN
7.0,Data Analyst/ Scientist,False,Algomine,Zdalna  + 1,13 440  – 21 840  PLN,PLN
8.0,MLOps Engineer,False,Addepto,Zdalna  + 5,20 160  – 30 240  PLN,PLN
9.0,Data Scientist,False,Astrokyon Sp. z o.o.,Zdalna  + 1,10 000  – 20 000  PLN,PLN
10.0,Remote Regular AI Developer,False,VOCALY Pro sp. z o.o.,Remote,10 000  – 17 000  PLN,PLN
11.0,Senior AI C++ Engineer,True,Tooploox,Zdalna  + 2,17 000  – 23 000  PLN,PLN
12.0,Senior Data Scientist (NLP),True,CRODU,Zdalna  + 1,23 500  – 33 600  PLN,PLN
13.0,Machine Learning Lead Engineer,True,RTB House,Zdalna  + 1,40 300  – 50 400  PLN,PLN
14.0,Senior Machine Learning Engineer,True,RTB House,Zdalna  + 1,30 200  – 40 300  PLN,PLN
15.0,Data Engineer,False,MyLed,Zdalna  + 1,10 000  – 18 000  PLN,PLN
16.0,Data Engineer,False,Unit8 SA,"Kraków, POL  + 1",16 000  – 26 000  PLN,PLN
17.0,Remote Software Architect,False,Hyland,Zdalna  + 5,28 800  – 33 600  PLN,PLN
18.0,Cloud Automation Engineer,False,ERGO Technology &amp; Services S.A.,Zdalna  + 2,14 000  – 24 000  PLN,PLN
19.0,Python Developer / ML Engineer,False,hubQuest,Zdalna  + 1,20 000  – 27 000  PLN,PLN
20.0,Junior Data Scientist,False,EMPIK S. A.,"Warszawa, POL",4 000  – 8 000  PLN,PLN
21.0,Data Engineer,False,Ringier Axel Springer Tech,Zdalna  + 3,11 100  – 18 400  PLN,PLN
22.0,Machine Learning Engineer/Data Scientist,False,LoopMe,Zdalna  + 1,16 000  – 18 000  PLN,PLN
23.0,Remote Python Developer - Radar Sensing,False,TCL Research Europe Sp. z o.o.,Zdalna  + 1,15 000  – 30 000  PLN,PLN
24.0,Senior MLOps Engineer,True,hubQuest,Zdalna  + 1,30 000  – 40 000  PLN,PLN
25.0,AI/ML Engineer,False,Talent Hills,"Gdańsk, POL  + 4",18 000  – 25 000  PLN,PLN
26.0,Lead Software Engineer - NLP,True,Hays Poland,Zdalna  + 1,22 000  – 32 000  PLN,PLN
27.0,Data Scientist,False,Addepto,Zdalna  + 5,18 480  – 28 560  PLN,PLN
28.0,Machine Learning Engineer,False,CARL Data Solutions,"gdansk, POL",10 000  – 20 000  PLN,PLN
29.0,Data Engineer Lead,True,Pannon-Work Zrt.,Zdalna  + 1,28 675  – 34 410  PLN,PLN
