Id,Title,Senior,Company,Location,Salary,Currency
1.0,Machine Learning Engineer,False,ALM Services Technology Group,Zdalnie,17 000  – 30 000  PLN,PLN
2.0,Senior Python Engineer ( AI Squad ),True,Lepaya,"Amsterdam  , NL",27 336  – 37 099  PLN,PLN
3.0,Machine Learning Specialist,False,ALTEN Polska,Zdalnie    +5,2 604  – 3 675  PLN,PLN
4.0,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie    +1,16 800  – 33 600  PLN,PLN
5.0,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,16 000  – 26 000  PLN,PLN
6.0,Regular / Senior Data Scientist,True,hubQuest,Zdalnie    +1,20 000  – 28 500  PLN,PLN
7.0,Machine Learning Engineer,False,hubQuest,Zdalnie    +1,20 000  – 27 000  PLN,PLN
8.0,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,16 000  – 26 000  PLN,PLN
9.0,Deep learning (Computer Vision) Engineer,False,New Security Systems,Zdalnie    +1,14 000  – 24 000  PLN,PLN
10.0,Machine Learning Engineer,False,RTB House,Zdalnie    +1,30 000  – 47 000  PLN,PLN
11.0,Machine Learning Researcher,False,RTB House,Zdalnie    +2,30 000  – 47 000  PLN,PLN
12.0,Senior/Expert Machine Learning Engineer,True,Digital Hub Warsaw at Bayer,Warszawa,20 000  – 28 000  PLN,PLN
13.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN
14.0,Python Developer (AI/ML),False,Decerto Sp. z o.o.,Zdalnie    +1,24 000  PLN,PLN
15.0,"AI &amp; Math (PhD, Postdoctoral Preferable)",False,Camino Science sp. z o.o.,Zdalnie    +1,16 000  – 25 000  PLN,PLN
16.0,Customer Success ML Engineer,False,Synerise,Zdalnie    +1,10 000  – 20 000  PLN,PLN
17.0,MLOps Engineer,False,LiveChat,Zdalnie    +1,18 000  – 34 000  PLN,PLN
18.0,AI Architect,False,Astrokyon,Zdalnie    +1,18 000  – 24 000  PLN,PLN
19.0,Machine Learning Engineer,False,SENSE Software,Sopot    +1,15 000  – 23 000  PLN,PLN
20.0,Machine Learning Specialist,False,InPhoTech,Ołtarzew    +1,30 000  – 38 000  PLN,PLN
21.0,Senior Research Scientist,True,Snowflake,Warszawa    +1,35 000  – 60 000  PLN,PLN
22.0,Data Scientist Lead,True,Objectivity,Zdalnie    +2,30 240  – 38 640  PLN,PLN
23.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN
24.0,Senior Data Scientist,True,HERO LABS,Łódź,25 000  – 30 000  PLN,PLN
25.0,Senior AI Researcher,True,Ardigen,Kraków,18 000  – 23 000  PLN,PLN
26.0,AI Engineer,False,Visimind,Olsztyn,8 000  – 12 000  PLN,PLN
27.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN
28.0,Senior Data Engineer,True,Competera,Zdalnie    +1,17 172  – 27 905  PLN,PLN
29.0,ML Developer,False,Ework Group,Warszawa,20 160  – 25 200  PLN,PLN
30.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN
31.0,Data Scientist/AI Developer,False,Algomine,Zdalnie    +1,13 440  – 25 200  PLN,PLN
32.0,Senior Machine Learning Engineer,True,"Secret Sauce Partners, Inc.",Zdalnie,11 214  – 22 429  PLN,PLN
