Id,Title,Senior,Company,Location,Salary,Currency
67,Machine Learning Engineer,False,,Gdańsk,35 100  PLN,PLN
68,Konsultant Techniczny Samba.ai,False,,Wrocław,6 000  – 9 000  PLN,PLN
69,Remote Machine Learning (Generative AI) Engineer,False,,Zdalnie    +8,21 957  – 27 945  PLN,PLN
70,Remote Backend/AI Engineer (Golang),False,,Zdalnie,14 000  – 24 000  PLN,PLN
71,Power Platform Developer,False,,Warsaw,16 000  – 22 000  PLN,PLN
72,Senior Data Scientist,True,,Katowice,16 000  – 22 000  PLN,PLN
73,Azure AI Solutions Consultant (OpenAI),False,,Zdalnie    +4,15 960  – 29 904  PLN,PLN
74,AI DevOps Engineer,False,,Zdalnie    +1,15 120  – 20 160  PLN,PLN
75,Machine Learning Engineer,False,,Zdalnie    +1,8 500  – 14 500  PLN,PLN
76,Data Scientist,False,,Zdalnie    +1,9 000  – 14 000  PLN,PLN
77,Data Scientist ( Mid / Senior ),True,,Zdalnie    +5,13 000  – 26 000  PLN,PLN
78,Senior Machine Learning Engineer,True,,Zdalnie    +1,14 500  – 18 500  PLN,PLN
79,Data Science Manager,False,,Zdalnie    +5,18 000  – 30 000  PLN,PLN
80,Senior MLOps Engineer,True,,Zdalnie    +1,26 880  – 30 240  PLN,PLN
81,Machine Learning Engineer,False,,Zdalnie    +2,13 000  – 18 000  PLN,PLN
82,Senior AI &amp; Math CUDA (C++) Developer,True,,Zdalnie    +1,16 000  – 19 000  PLN,PLN
83,AI &amp; Math CUDA (C++) Developer,False,,Zdalnie    +1,12 000  – 16 000  PLN,PLN
84,AI Domain Lead (Head of AI),True,,Zdalnie    +4,24 024  – 31 920  PLN,PLN
85,Deep Learning Engineer,False,,Zdalnie    +1,22 000  – 28 000  PLN,PLN
86,Lead Machine Learning Engineer,True,,Warszawa,20 000  – 28 000  PLN,PLN
87,Senior JavaScript Developer (AI projects),True,,Zdalnie    +2,17 000  – 28 000  PLN,PLN
88,Senior Data Scientist REMOTE 🌍,True,,Zdalnie,27 146  – 33 734  PLN,PLN
89,Senior AI Engineer,True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
90,AI Engineer,False,,Zdalnie    +1,15 120  – 19 320  PLN,PLN
91,Team Manager (AI/IoT),False,,Kraków,19 000  – 26 000  PLN,PLN
92,Senior Software Engineer for Machine Learning,True,,Łódź,18 000  – 28 000  PLN,PLN
93,Machine Learning Researcher,False,,Zdalnie    +1,Sprawdź Salary Match,SprawdSalaryMatch
94,Research Engineer / Machine Learning,False,,Łódź,18 000  – 28 000  PLN,PLN
95,Machine Learning Engineer,False,,Warszawa,Sprawdź Salary Match,SprawdSalaryMatch
96,Mid Software Engineer for Machine Learning,False,,Łódź,13 000  – 17 000  PLN,PLN
97,Mid MLOps Engineer,False,,Łódź,13 000  – 17 000  PLN,PLN
98,Senior MLOps Engineer,True,,Łódź,18 000  – 28 000  PLN,PLN
99,NLP Engineer with Automatic Speech Recognition,False,,Zdalnie,20 160  – 24 360  PLN,PLN
100,Kierownik B+R z doświadczeniem IoT lub AI,False,,Zdalnie,16 000  – 22 000  PLN,PLN
101,Senior Data Scientist,True,,Warsaw,20 000  – 28 000  PLN,PLN
102,Remote Generative AI Solutions Architect,False,,Zdalnie    +1,24 000  – 33 000  PLN,PLN
103,Remote Software Engineering GenAI Empowerment Lead,True,,Zdalnie    +1,24 000  – 33 000  PLN,PLN
104,Machine Learning Researcher,False,,Zdalnie    +2,30 000  – 47 000  PLN,PLN
105,Senior Data and AI Engineer (NLP),True,,Zdalnie    +1,25 200  – 33 600  PLN,PLN
106,Senior ML Voice - Part Time,True,,Zdalnie    +1,18 000  PLN,PLN
107,Machine Learning Engineer,False,,Gdańsk,35 100  PLN,PLN
108,Konsultant Techniczny Samba.ai,False,,Wrocław,6 000  – 9 000  PLN,PLN
109,Remote Machine Learning (Generative AI) Engineer,False,,Zdalnie    +8,21 957  – 27 945  PLN,PLN
110,Remote Backend/AI Engineer (Golang),False,,Zdalnie,14 000  – 24 000  PLN,PLN
111,Power Platform Developer,False,,Warsaw,16 000  – 22 000  PLN,PLN
112,Senior Data Scientist,True,,Katowice,16 000  – 22 000  PLN,PLN
113,Azure AI Solutions Consultant (OpenAI),False,,Zdalnie    +4,15 960  – 29 904  PLN,PLN
114,AI DevOps Engineer,False,,Zdalnie    +1,15 120  – 20 160  PLN,PLN
115,Machine Learning Engineer,False,,Zdalnie    +1,8 500  – 14 500  PLN,PLN
116,Data Scientist,False,,Zdalnie    +1,9 000  – 14 000  PLN,PLN
117,Data Scientist ( Mid / Senior ),True,,Zdalnie    +5,13 000  – 26 000  PLN,PLN
118,Senior Machine Learning Engineer,True,,Zdalnie    +1,14 500  – 18 500  PLN,PLN
119,Data Science Manager,False,,Zdalnie    +5,18 000  – 30 000  PLN,PLN
120,Senior MLOps Engineer,True,,Zdalnie    +1,26 880  – 30 240  PLN,PLN
121,Machine Learning Engineer,False,,Zdalnie    +2,13 000  – 18 000  PLN,PLN
122,Senior AI &amp; Math CUDA (C++) Developer,True,,Zdalnie    +1,16 000  – 19 000  PLN,PLN
123,AI &amp; Math CUDA (C++) Developer,False,,Zdalnie    +1,12 000  – 16 000  PLN,PLN
124,AI Domain Lead (Head of AI),True,,Zdalnie    +4,24 024  – 31 920  PLN,PLN
